ea01id,ea01dtemis,ea01dtentrega,ea01vlr10
15915189,2023-01-10,2023-01-25,2584.14
15913684,2023-01-10,2023-01-12,23143.03
15914627,2023-01-10,2023-01-25,2571.66
15915207,2023-01-10,2023-01-25,6675.05
15915081,2023-01-10,2023-01-25,3587.95
15914874,2023-01-10,2023-01-25,1868.59
15914683,2023-01-10,2023-01-25,1819.64
15915227,2023-01-10,2023-01-25,10239.99
15915368,2023-01-10,2023-01-25,1668.73
15914565,2023-01-10,2023-01-25,6140.65
15914602,2023-01-10,2023-01-25,2441.64
15914784,2023-01-10,2023-01-25,2713.08
15914979,2023-01-10,2023-01-25,2766.01
15915171,2023-01-10,2023-01-25,3486.52
15915106,2023-01-10,2023-01-25,4252.48
15914510,2023-01-10,2023-01-25,35907.0
15914727,2023-01-10,2023-01-25,7781.5
15914804,2023-01-10,2023-01-25,85187.22
15915386,2023-01-10,2023-01-25,8566.69
15915354,2023-01-10,2023-01-25,2562.97
15914997,2023-01-10,2023-01-25,2254.17
15914547,2023-01-10,2023-01-25,1442.7
15914702,2023-01-10,2023-01-25,5011.13
15914651,2023-01-10,2023-01-25,3605.79
15914531,2023-01-10,2023-01-25,2903.65
15949775,2023-01-11,2023-01-26,2523.6
15949817,2023-01-11,2023-01-26,1668.73
15949694,2023-01-11,2023-01-26,3400.08
15949437,2023-01-11,2023-01-26,5687.94
15949878,2023-01-11,2023-01-16,118065.12
15949454,2023-01-11,2023-01-26,1777.08
15949518,2023-01-11,2023-01-26,4687.34
15949729,2023-01-11,2023-01-26,2647.76
15949745,2023-01-11,2023-01-26,3384.23
15949635,2023-01-11,2023-01-26,4437.35
15949715,2023-01-11,2023-01-26,1626.31
15949756,2023-01-11,2023-01-26,6210.9
15949473,2023-01-11,2023-01-26,6048.86
15949411,2023-01-11,2023-01-25,3339.63
15949650,2023-01-11,2023-01-26,18630.04
15949796,2023-01-11,2023-01-26,3253.99
15949837,2023-01-11,2023-01-26,1680.88
15949537,2023-01-11,2023-01-25,4497.07
15952140,2023-01-13,2023-01-27,9173.75
15951990,2023-01-13,2023-01-31,4309.92
15952016,2023-01-13,2023-01-31,12466.63
15951976,2023-01-13,2023-01-31,9695.36
15952203,2023-01-13,2023-01-27,1277.23
15951957,2023-01-13,2023-01-31,26215.1
15952156,2023-01-13,2023-01-27,2870.78
15952192,2023-01-13,2023-01-27,3243.23
15952243,2023-01-13,2023-01-27,4507.86
15952004,2023-01-13,2023-01-31,2478.77
15957173,2023-01-17,2023-01-31,2857.27
15956847,2023-01-17,2023-01-31,3121.4
15955339,2023-01-17,2023-02-01,7270.19
15957138,2023-01-17,2023-01-31,3282.68
15955014,2023-01-17,2023-02-01,12800.21
15956231,2023-01-17,2023-01-31,3803.74
15956212,2023-01-17,2023-01-31,6447.06
15956021,2023-01-17,2023-01-31,4159.73
